DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Premis Desc,Weapon Desc,Status Desc,LOCATION,LAT,LON,Crm Type
201819475,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,2250,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET,UNKNOWN FIREARM,Adult Other,800 W  148TH                        ST,33.8983,-118.2896,ASSAULT
202106474,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1835,Topanga,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,21700    VENTURA                      BL,34.1683,-118.6007,ASSAULT
202115676,11/05/2020 12:00:00 AM,11/03/2020 12:00:00 AM,330,Topanga,BURGLARY,OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6300    CANOGA                       AV,34.1849,-118.5974,BURGLARY
201416348,08/30/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1200,Pacific,VEHICLE - STOLEN,PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4000    GLENCOE                      AV,33.9918,-118.4446,VEHICLE
201420586,11/20/2020 12:00:00 AM,11/18/2020 12:00:00 AM,630,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,11200    SARDIS                       AV,34.0296,-118.4306,VEHICLE
201504263,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1300,N Hollywood,BURGLARY FROM VEHICLE,PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,11000    VICTORY                      BL,34.1867,-118.3703,BURGLARY
202013922,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,830,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  MANHATTAN                    PL,34.0581,-118.3102,THEFT
201615829,12/19/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1500,Foothill,ROBBERY,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7900    LAUREL CANYON                BL,34.2139,-118.3965,ROBBERY
201908231,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2000,Mission,FIREARMS RESTRAINING ORDER (FIREARMS RO),PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,7800    NOLLAN                       PL,34.2128,-118.445,COURT_ORDER
220614831,08/18/2022 12:00:00 AM,08/17/2020 12:00:00 AM,1200,Hollywood,THEFT OF IDENTITY,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1900    TRANSIENT,34.0944,-118.3277,THEFT
201420127,11/10/2020 12:00:00 AM,11/08/2020 12:00:00 AM,1300,Pacific,BIKE - STOLEN,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,8800 S  SEPULVEDA                    BL,33.9568,-118.3962,OTHER
201810632,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1530,Southeast,BATTERY - SIMPLE ASSAULT,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,MANCHESTER                   AV,33.9602,-118.2651,ASSAULT
202115664,11/05/2020 12:00:00 AM,09/03/2020 12:00:00 AM,1400,Topanga,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,19700    SHERMAN                      WY,34.2011,-118.5713,FRAUD_FORGERY
202013106,08/06/2020 12:00:00 AM,08/06/2020 12:00:00 AM,530,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,100 S  WILTON                       PL,34.0728,-118.3135,THEFT
201908682,04/12/2020 12:00:00 AM,04/12/2020 12:00:00 AM,2221,Mission,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,HOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,9400    SEPULVEDA                    BL,34.2427,-118.4702,CHILD_CRIME
